YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2019-fa,AAS,100,Intro Asian American Studies,20,6,1,4,1,0,0,0,0,0,0,0,0,0,"Boonsripaisal, Simon"
2019-fa,AAS,100,Intro Asian American Studies,16,10,2,2,1,0,0,0,0,0,0,0,0,0,"Uhall, Michael B"
2019-fa,AAS,100,Intro Asian American Studies,5,13,2,2,3,2,0,1,0,0,0,0,3,0,"Kang, Yoonjung"
2019-fa,AAS,100,Intro Asian American Studies,26,6,1,0,1,0,0,0,0,0,0,0,0,0,"Boonsripaisal, Simon"
2019-fa,AAS,100,Intro Asian American Studies,19,4,3,1,2,3,0,0,0,0,0,0,0,0,"Uhall, Michael B"
2019-fa,AAS,100,Intro Asian American Studies,4,10,2,3,1,3,0,0,0,0,0,0,3,0,"Kang, Yoonjung"
2019-fa,AAS,100,Intro Asian American Studies,3,24,0,1,5,0,0,0,0,0,0,0,1,0,"Park, Doo Jae"
2019-fa,AAS,100,Intro Asian American Studies,1,22,0,1,6,0,1,1,0,0,1,0,1,0,"Park, Doo Jae"
2019-fa,AAS,246,Asian American Youth in Film,5,47,5,5,4,0,1,2,0,0,0,0,0,0,"Kwon, Soo Ah"
2019-fa,AAS,287,Food and Asian Americans,27,29,3,5,2,0,0,0,0,0,0,0,2,0,"Sharif, Lila A"
2019-fa,AAS,370,"Immigration, Law, and Rights",0,3,4,6,7,4,2,1,1,1,0,0,0,0,"Paik, Angela N"
2019-fa,ABE,100,Intro Agric & Biological Engrg,0,39,0,0,3,0,0,0,0,0,0,0,2,0,"Green-Miller, Angela"
2019-fa,ABE,199,Water in the Global Environ,5,21,0,0,1,0,0,0,0,0,0,0,0,0,"Kalita, Prasanta K"
2019-fa,ABE,223,ABE Principles: Machine Syst,2,21,2,4,5,3,2,2,0,0,1,1,0,0,"Grift, Tony E"
2019-fa,ABE,224,ABE Principles: Soil & Water,10,24,0,7,3,0,0,2,0,0,0,0,2,0,"Kalita, Prasanta K"
2019-fa,ABE,430,Project Management,1,81,9,2,5,0,0,0,0,0,0,0,2,0,"Davidson, Paul C"
2019-fa,ABE,436,Renewable Energy Systems,1,5,1,5,7,2,2,2,0,0,1,0,1,0,"Wang, Xinlei"
2019-fa,ABE,436,Renewable Energy Systems,5,9,5,3,2,0,0,0,0,0,0,0,0,0,"Wang, Xinlei"
2019-fa,ABE,488,Bioprocessing Biomass for Fuel,4,12,2,7,0,0,0,0,0,0,0,0,0,0,"Singh, Vijay"
2019-fa,ABE,498,Eng Design for Solar SmartHome,8,23,8,2,0,0,0,0,0,0,0,0,0,0,"Wang, Xinlei"
2019-fa,ACCY,200,Fundamentals of Accounting,8,69,53,28,35,22,22,10,14,6,5,3,0,1,"Silhan, Peter A"
2019-fa,ACCY,201,Accounting and Accountancy I,0,7,2,6,5,2,4,2,3,1,0,0,1,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,1,4,2,3,3,3,2,6,3,0,1,2,1,1,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,0,3,1,4,5,2,0,3,1,2,3,0,1,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,0,1,6,1,2,3,4,4,1,3,0,0,2,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,2,4,2,6,2,0,3,1,2,2,0,1,1,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,5,4,1,3,4,4,4,0,1,2,1,1,0,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,2,6,7,5,6,1,3,0,0,1,0,1,0,1,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,2,4,5,4,6,3,2,4,0,0,0,0,1,1,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,4,4,2,1,5,3,2,4,1,1,1,3,1,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,1,6,8,4,2,2,2,1,1,1,4,0,0,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,0,2,2,7,6,5,1,6,0,1,0,1,1,2,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,2,5,7,7,3,3,0,2,0,1,0,0,0,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,0,3,2,2,6,3,1,5,3,2,1,0,2,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,1,5,1,2,2,0,1,4,3,0,2,2,1,1,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,3,7,7,2,3,2,0,2,3,0,1,0,0,1,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,0,4,2,3,9,5,0,3,1,1,1,1,2,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,3,1,4,8,5,2,4,0,1,0,0,1,0,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,3,4,4,4,5,2,1,2,2,0,2,0,1,1,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,1,2,2,4,4,6,6,7,0,3,0,0,1,0,"Fisher, Mitchell B"
2019-fa,ACCY,201,Accounting and Accountancy I,1,2,6,3,9,4,5,0,0,0,2,0,0,0,"Fisher, Mitchell B"
2019-fa,ACCY,202,Accounting and Accountancy II,1,9,1,3,5,3,1,1,0,0,1,0,0,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,3,2,5,4,6,2,2,1,0,0,1,0,1,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,3,3,4,3,7,0,1,3,4,0,0,0,0,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,8,5,2,2,10,1,0,2,1,0,0,0,0,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,5,9,1,5,6,1,0,0,0,0,0,0,1,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,3,5,0,8,5,4,1,2,0,0,0,0,0,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,3,6,0,1,4,4,1,1,3,0,1,0,0,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,4,6,2,4,6,3,0,2,1,0,1,0,0,0,"Shapland, Julia P"
2019-fa,ACCY,202,Accounting and Accountancy II,3,7,0,8,5,0,3,2,1,0,0,0,1,0,"Shapland, Julia P"
2019-fa,ACCY,301,Atg Measurement & Disclosure,2,2,7,5,5,3,2,2,2,0,0,0,0,0,"Davis, Gregory L"
2019-fa,ACCY,301,Atg Measurement & Disclosure,9,7,2,4,2,2,0,0,0,0,2,0,0,1,"Davis, Gregory L"
2019-fa,ACCY,301,Atg Measurement & Disclosure,1,6,10,5,4,2,0,3,0,0,0,0,0,0,"Wang, Zhiguang"
2019-fa,ACCY,301,Atg Measurement & Disclosure,1,5,6,5,1,5,2,1,0,1,0,0,1,0,"Sougiannis, Theodore"
2019-fa,ACCY,301,Atg Measurement & Disclosure,0,5,7,7,3,6,0,1,1,0,0,0,0,0,"Sougiannis, Theodore"
2019-fa,ACCY,301,Atg Measurement & Disclosure,0,3,9,10,4,2,1,0,0,0,0,0,0,1,"Wang, Zhiguang"
2019-fa,ACCY,301,Atg Measurement & Disclosure,1,6,6,7,5,3,1,0,1,0,0,0,0,0,"Sougiannis, Theodore"
2019-fa,ACCY,301,Atg Measurement & Disclosure,1,8,5,8,6,1,0,2,0,0,0,0,0,0,"Wang, Zhiguang"
2019-fa,ACCY,302,Decision Making for Atg,3,5,4,15,6,2,0,0,0,0,0,0,0,0,"Chen, Xiaoling"
2019-fa,ACCY,302,Decision Making for Atg,1,4,7,5,9,8,2,0,0,0,0,0,0,0,"Samet, Jordan A"
2019-fa,ACCY,302,Decision Making for Atg,3,4,6,10,5,2,4,0,0,0,0,0,0,0,"Samet, Jordan A"
2019-fa,ACCY,302,Decision Making for Atg,4,9,4,6,6,3,2,0,1,0,0,0,0,0,"Curtis, Susan M"
2019-fa,ACCY,302,Decision Making for Atg,5,7,7,5,5,3,2,1,0,0,0,0,0,0,"Curtis, Susan M"
2019-fa,ACCY,302,Decision Making for Atg,1,8,9,6,3,5,1,1,0,0,1,0,0,0,"Curtis, Susan M"
2019-fa,ACCY,302,Decision Making for Atg,3,3,12,8,5,5,0,0,0,0,0,0,0,0,"Samet, Jordan A"
2019-fa,ACCY,303,Atg Institutions and Reg,1,2,4,9,6,4,2,1,2,0,0,0,0,0,"Zhu, Wei"
2019-fa,ACCY,303,Atg Institutions and Reg,6,6,5,1,2,2,2,2,2,0,0,0,0,1,"Zhu, Wei"
2019-fa,ACCY,303,Atg Institutions and Reg,1,6,7,7,4,2,1,2,0,0,0,1,0,0,"Zhu, Wei"
2019-fa,ACCY,303,Atg Institutions and Reg,15,6,1,4,2,0,1,1,0,0,0,0,0,0,"Godsell, David"
2019-fa,ACCY,303,Atg Institutions and Reg,7,4,8,2,2,1,2,1,1,0,1,0,1,0,"Godsell, David"
2019-fa,ACCY,303,Atg Institutions and Reg,10,1,0,3,5,3,2,0,0,3,0,2,0,0,"Godsell, David"
2019-fa,ACCY,303,Atg Institutions and Reg,8,7,3,0,1,4,2,3,0,1,0,0,0,0,"Mendoza, Scott A"
2019-fa,ACCY,304,Accounting Control Systems,0,3,9,7,2,5,4,3,0,0,0,0,0,0,"Wu, Martin G"
2019-fa,ACCY,304,Accounting Control Systems,7,4,9,7,1,3,1,0,0,0,0,0,0,0,"Wu, Martin G"
2019-fa,ACCY,304,Accounting Control Systems,0,12,5,4,9,0,1,0,0,0,1,0,0,0,"Kink, Dawn M"
2019-fa,ACCY,304,Accounting Control Systems,1,9,3,10,6,2,0,0,0,0,0,1,0,0,"Hayne, Christie"
2019-fa,ACCY,304,Accounting Control Systems,0,6,7,9,7,2,1,0,0,0,0,0,1,0,"Hayne, Christie"
2019-fa,ACCY,304,Accounting Control Systems,3,10,3,6,6,4,0,0,0,1,0,0,1,0,"Hayne, Christie"
2019-fa,ACCY,312,Principles of Taxation,2,6,3,4,4,4,2,3,2,0,0,0,0,0,"Penn, Michael W"
2019-fa,ACCY,312,Principles of Taxation,5,10,4,4,2,2,1,1,0,0,0,0,0,0,"Penn, Michael W"
2019-fa,ACCY,312,Principles of Taxation,3,12,3,2,1,2,2,0,2,0,0,0,0,0,"Penn, Michael W"
2019-fa,ACCY,312,Principles of Taxation,3,2,11,5,7,1,0,0,0,0,0,0,0,0,"Vuong, Anh"
2019-fa,ACCY,312,Principles of Taxation,3,5,4,8,3,1,1,1,0,0,1,0,1,1,"Holder, Charles B"
2019-fa,ACCY,312,Principles of Taxation,7,3,3,1,8,2,2,1,0,0,1,0,0,0,"Alt, Amanda J"
2019-fa,ACCY,312,Principles of Taxation,2,2,4,6,10,5,1,0,0,0,0,0,0,0,"Vuong, Anh"
2019-fa,ACCY,410,Advanced Financial Reporting,0,9,5,3,10,1,0,2,0,0,0,0,0,0,"Ibrahim, Adel Nematallah"
2019-fa,ACCY,410,Advanced Financial Reporting,0,11,7,2,8,3,0,0,0,0,0,0,0,0,"Ibrahim, Adel Nematallah"
2019-fa,ACCY,410,Advanced Financial Reporting,4,3,10,7,9,1,0,0,0,0,0,0,0,0,"Persson, Martin E"
2019-fa,ACCY,410,Advanced Financial Reporting,1,6,6,5,9,6,0,0,0,0,0,0,0,0,"Persson, Martin E"
2019-fa,ACCY,410,Advanced Financial Reporting,1,1,5,10,12,2,1,0,0,0,0,0,0,0,"Persson, Martin E"
2019-fa,ACCY,415,Auditing Stds and Practice,0,10,8,11,1,4,4,1,0,0,0,0,1,0,"Lullo, Michael J"
2019-fa,ACCY,415,Auditing Stds and Practice,0,3,3,22,7,3,0,1,0,0,0,1,0,0,"Lullo, Michael J"
2019-fa,ACCY,415,Auditing Stds and Practice,2,11,4,3,12,1,0,3,0,0,2,0,0,0,"Kink, Dawn M"
2019-fa,ACCY,451,Advanced Income Tax Problems,3,12,2,10,3,1,1,1,0,0,0,0,0,0,"Hutchens, Matthew"
2019-fa,ACCY,451,Advanced Income Tax Problems,1,13,1,8,1,1,2,1,1,0,0,0,0,0,"Hutchens, Matthew"
2019-fa,ACCY,451,Advanced Income Tax Problems,3,11,2,6,4,1,3,1,0,0,0,0,0,0,"Hutchens, Matthew"
2019-fa,ACCY,451,Advanced Income Tax Problems,1,12,0,0,8,0,0,4,0,0,0,0,0,0,"Holder, Charles B"
2019-fa,ACCY,451,Advanced Income Tax Problems,0,4,4,5,14,1,1,1,0,0,0,0,0,0,"Sternburg, Thomas"
2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",11,5,6,5,4,3,3,3,2,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",8,7,6,8,8,5,3,0,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",177,183,176,68,70,11,13,1,0,0,0,0,5,4,"Urcan, Oktay"
2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",11,14,5,3,1,0,0,0,0,0,0,0,0,0,"Zhang, Li"
2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",7,4,4,3,4,2,3,0,0,0,0,0,0,0,"Zhang, Li"
2019-fa,ACCY,501,Accounting Analysis I A,10,17,19,13,15,4,4,3,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2019-fa,ACCY,501,Accounting Analysis I B,15,22,19,10,6,5,2,3,4,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2019-fa,ACCY,501,Accounting Analysis I,0,10,6,3,7,0,0,0,0,0,0,0,0,0,"Davis, Gregory L"
2019-fa,ACCY,501,Accounting Analysis I A,3,7,9,2,1,2,1,1,1,0,0,0,1,1,"Augusto Sampaio, Gerlando"
2019-fa,ACCY,501,Accounting Analysis I B,1,15,4,2,2,1,0,0,0,0,0,0,2,0,"Augusto Sampaio, Gerlando"
2019-fa,ACCY,502,Accounting Analysis II,4,12,8,6,4,3,0,0,1,0,0,0,0,0,"Schwartz, Rachel"
2019-fa,ACCY,502,Accounting Analysis II,8,15,7,2,3,1,1,1,0,0,0,0,0,0,"Schwartz, Rachel"
2019-fa,ACCY,502,Accounting Analysis II,7,13,8,4,3,4,1,1,0,0,0,0,0,1,"Schwartz, Rachel"
2019-fa,ACCY,504,Auditing A,10,45,20,21,44,11,0,2,0,0,1,0,1,0,"Peecher, Mark E"
2019-fa,ACCY,504,Auditing B,9,48,21,9,53,6,1,0,0,0,0,0,3,0,"Peecher, Mark E"
2019-fa,ACCY,505,Federal Taxation,0,8,14,5,7,1,1,1,0,0,0,0,0,0,"Chatterton, Angel"
2019-fa,ACCY,505,Federal Taxation,0,9,7,9,4,5,2,0,0,0,0,0,0,0,"Chatterton, Angel"
2019-fa,ACCY,505,Federal Taxation,1,11,7,2,6,2,2,1,0,0,0,0,0,0,"Chatterton, Angel"
2019-fa,ACCY,505,Federal Taxation,0,8,7,3,7,6,0,0,2,0,0,0,0,0,"Alt, Amanda J"
2019-fa,ACCY,505,Federal Taxation A,7,52,21,14,11,6,1,0,0,0,0,0,0,0,"Hutchens, Matthew"
2019-fa,ACCY,505,Federal Taxation B,8,56,15,12,9,6,6,1,0,0,0,0,0,0,"Hutchens, Matthew"
2019-fa,ACCY,505,Federal Taxation,2,11,8,3,6,5,0,0,0,0,0,0,0,0,"Alt, Amanda J"
2019-fa,ACCY,505,Federal Taxation A,0,11,2,2,4,0,0,0,0,0,0,0,2,0,"Hutchens, Matthew"
2019-fa,ACCY,506,Advanced Financial Reporting,5,11,5,2,6,2,2,2,1,0,1,0,0,0,"Kustanovich, Michael"
2019-fa,ACCY,510,Financial Reporting Standards,5,18,0,2,9,3,0,0,0,0,0,0,0,0,"Steward, Cynthia G"
2019-fa,ACCY,510,Financial Reporting Standards,5,8,6,13,4,0,0,0,0,0,0,0,0,0,"Hepp, John"
2019-fa,ACCY,510,Financial Reporting Standards,7,28,0,2,1,0,0,0,0,0,0,0,0,0,"Steward, Cynthia G"
2019-fa,ACCY,510,Financial Reporting Standards,11,18,0,7,2,0,0,0,0,0,0,0,0,0,"Steward, Cynthia G"
2019-fa,ACCY,510,Financial Reporting Standards,5,6,4,13,4,2,0,0,0,0,0,0,0,0,"Hepp, John"
2019-fa,ACCY,512,Data Analytics for Mgmt Acctg,4,17,11,8,0,0,0,0,0,0,0,0,0,0,"Du, Fei"
2019-fa,ACCY,512,Data Analytics for Mgmt Acctg,0,27,6,5,0,1,0,0,0,0,0,0,0,0,"Du, Fei"
2019-fa,ACCY,512,Data Analytics for Mgmt Acctg,0,18,15,6,0,0,0,0,0,0,0,0,0,0,"Du, Fei"
2019-fa,ACCY,515,Auditing & Assurance Standards,0,2,4,9,6,2,0,0,0,0,0,0,0,0,"Zhou, Yuepin"
2019-fa,ACCY,515,Auditing & Assurance Standards,0,5,10,4,5,0,0,0,0,0,0,0,0,0,"Zhou, Yuepin"
2019-fa,ACCY,515,Auditing & Assurance Standards,0,6,8,2,5,2,0,0,0,0,0,0,0,0,"Zhou, Yuepin"
2019-fa,ACCY,517,Financial Statement Analysis,0,10,13,7,8,1,0,0,1,0,0,0,0,0,"Hamm, Brian K"
2019-fa,ACCY,517,Financial Statement Analysis,0,14,18,5,1,0,0,0,0,0,0,0,0,0,"Hamm, Brian K"
2019-fa,ACCY,518,Financial Statement Fraud,32,7,2,1,0,0,0,0,0,0,0,0,0,0,"Nekrasz, Frank"
2019-fa,ACCY,551,Corporate Income Taxation,0,3,3,5,10,1,0,0,0,0,0,0,0,0,"Sternburg, Thomas"
2019-fa,ACCY,551,Corporate Income Taxation,0,6,7,5,5,0,0,0,0,0,0,0,0,0,"Sternburg, Thomas"
2019-fa,ACCY,556,Tax Research,0,13,0,0,14,0,0,1,0,0,0,0,0,0,"Holder, Daniel E"
2019-fa,ACCY,556,Tax Research,0,14,0,0,10,0,0,2,0,0,0,0,0,0,"Holder, Daniel E"
2019-fa,ACCY,569,Data Driven Decisions in Acctg,2,12,8,8,5,3,0,0,0,0,0,0,1,0,"Guymon, Ronald N"
2019-fa,ACCY,570,Data Analytics Foundations,3,32,4,1,2,0,0,0,0,0,0,0,0,0,"Anand, Vic"
2019-fa,ACCY,570,Data Analytics Foundations,5,34,3,1,0,0,0,0,0,0,0,0,0,0,"Mendoza, Kimberly"
2019-fa,ACCY,570,Data Analytics Foundations,7,32,5,1,0,0,0,0,0,0,0,0,0,0,"Anand, Vic"
2019-fa,ACCY,570,Data Analytics Foundations,16,22,3,1,0,2,0,0,0,0,0,0,0,0,"Herbold, T J"
2019-fa,ACE,100,Agr Cons and Resource Econ,1,4,6,1,6,5,1,2,0,0,0,2,0,0,"Gundersen, Lisa C"
2019-fa,ACE,100,Agr Cons and Resource Econ,1,2,5,4,7,1,0,2,1,0,1,1,2,0,"Gundersen, Lisa C"
2019-fa,ACE,100,Agr Cons and Resource Econ,1,2,7,3,4,0,3,3,0,0,0,0,1,0,"Gundersen, Lisa C"
2019-fa,ACE,100,Agr Cons and Resource Econ,2,5,5,7,7,0,1,0,2,0,0,1,0,0,"Gundersen, Lisa C"
2019-fa,ACE,100,Agr Cons and Resource Econ,0,9,3,1,5,1,3,3,0,1,0,0,0,0,"Gundersen, Lisa C"
2019-fa,ACE,161,Microcomputer Applications,0,20,0,0,8,0,0,1,0,0,0,0,0,0,"Burnett, Meghan L"
2019-fa,ACE,161,Microcomputer Applications,8,11,0,0,4,0,0,3,0,1,0,0,1,0,"Burak, Steven"
2019-fa,ACE,161,Microcomputer Applications,6,10,1,2,0,1,3,2,0,0,0,0,0,0,"Li, Liqing"
2019-fa,ACE,161,Microcomputer Applications,0,18,0,0,7,0,0,3,0,0,0,0,0,0,"Lo, Alexander C"
2019-fa,ACE,161,Microcomputer Applications,9,11,0,1,4,0,1,1,0,0,0,0,0,0,"Burak, Steven"
2019-fa,ACE,161,Microcomputer Applications,0,15,0,0,9,0,0,1,0,0,1,0,1,0,"Lo, Alexander C"
2019-fa,ACE,161,Microcomputer Applications,0,28,0,0,8,0,0,2,0,0,0,0,1,0,"Burnett, Meghan L"
2019-fa,ACE,161,Microcomputer Applications,6,12,2,4,1,0,0,0,0,0,1,0,0,0,"Li, Liqing"
2019-fa,ACE,161,Microcomputer Applications,0,14,0,0,6,0,0,5,0,0,0,0,0,0,"Lo, Alexander C"
2019-fa,ACE,161,Microcomputer Applications,0,14,0,0,4,0,0,3,0,0,3,0,0,0,"Lo, Alexander C"
2019-fa,ACE,199,Digital Mktg and Social Media,0,30,0,0,40,0,0,10,0,0,0,0,0,0,"Lo, Alexander C"
2019-fa,ACE,210,Environmental Economics,24,34,28,13,29,7,6,6,4,1,1,3,0,0,"Christensen, Peter"
2019-fa,ACE,222,Agricultural Marketing,12,21,15,19,25,16,13,9,6,6,2,2,8,0,"Stoddard, Paul B"
2019-fa,ACE,240,Personal Financial Planning,7,55,22,31,21,10,4,4,2,0,0,11,0,0,"Stoddard, Paul B"
2019-fa,ACE,240,Personal Financial Planning,0,161,0,0,25,0,0,11,0,0,1,0,3,0,"Lemoine, Craig"
2019-fa,ACE,251,The World Food Economy,28,43,28,24,28,16,8,9,4,0,0,0,3,0,"Michelson, Hope C"
2019-fa,ACE,261,Applied Statistical Methods,44,5,7,2,10,2,1,5,1,0,1,1,1,0,"Gundersen, Lisa C"
2019-fa,ACE,306,Food Law,4,11,6,3,3,2,1,9,2,0,0,0,0,0,"Endres, A B"
2019-fa,ACE,341,Issues in Agribus Mkts & Mgmt,23,7,2,1,1,0,0,0,0,0,0,0,0,0,"Fox, John A"
2019-fa,ACE,341,Issues in Cons Econ & Finance,3,25,12,1,2,2,0,1,1,0,0,0,1,0,"Helton, Caroline A"
2019-fa,ACE,341,Contemp Issue Comm Fin Plng,2,15,2,2,6,1,0,3,0,0,1,0,1,0,"Allen, Sharon C"
2019-fa,ACE,341,Issues in AgAccy and FinAg,0,31,6,4,1,0,1,1,1,1,1,0,0,1,"Finnegan, Ann B"
2019-fa,ACE,345,Finan Decision Indiv Sm Bus,10,40,19,18,15,4,8,3,2,2,0,0,0,1,"Paulson, Nicholas D"
2019-fa,ACE,346,Tax Policy and Finan Planning,16,12,8,8,14,5,3,3,0,0,0,2,0,0,"Breen, John"
2019-fa,ACE,360,Spreadsheet Models & Applic,3,8,4,4,1,2,0,0,0,0,0,0,0,1,"Gatti, Nicolas"
2019-fa,ACE,398,Intermediate App Micro Theory,1,40,3,6,7,2,1,1,0,1,0,0,1,0,"Parthum, Bryan M"
2019-fa,ACE,398,App Stat Mthds & Data Anlytcs1,2,4,8,3,4,1,0,1,0,0,0,1,0,0,"Ellison, Brenna"
2019-fa,ACE,398,Risk Mngmt in Personal Fin Pla,1,52,0,0,4,0,0,1,0,0,0,0,1,1,"Lemoine, Craig"
2019-fa,ACE,406,Environmental Law,2,10,7,2,8,0,2,4,1,0,0,1,0,0,"Endres, A B"
2019-fa,ACE,411,Environment and Development,20,14,3,4,12,1,0,0,0,0,0,0,1,0,"Baylis, Katherine R"
2019-fa,ACE,427,Commodity Price Analysis,20,8,0,9,2,2,2,0,0,0,0,0,0,0,"Hu, Zhepeng"
2019-fa,ACE,427,Commodity Price Analysis,25,12,8,2,4,2,0,0,1,1,0,0,0,0,"Tremacoldi Ross, Pedro"
2019-fa,ACE,428,Commodity Futures and Options,1,7,7,3,4,4,1,3,0,0,0,1,0,0,"Robe, Michel A"
2019-fa,ACE,432,Farm Management,0,1,2,5,3,4,1,5,2,0,0,0,0,0,"Raab, Dwight D"
2019-fa,ACE,435,Global Agribusiness Management,1,17,15,18,16,9,2,7,1,0,0,0,0,0,"Scholl, Jon H"
2019-fa,ACE,444,Finan Serv & Invest Plan,1,14,3,3,12,6,1,0,0,0,0,0,0,0,"Schnitkey, Gary D"
2019-fa,ACE,444,Finan Serv & Invest Plan,0,23,7,2,7,2,1,0,0,0,0,0,0,0,"Schnitkey, Gary D"
2019-fa,ACE,445,Intermediate Personal Fin Plan,2,24,0,0,2,1,0,5,0,0,0,0,0,1,"Lemoine, Craig"
2019-fa,ACE,445,Intermediate Personal Fin Plan,1,20,0,0,5,0,0,3,0,0,0,0,0,0,"Lemoine, Craig"
2019-fa,ACE,455,Intl Trade in Food and Agr,12,20,11,10,13,4,4,6,3,0,0,0,0,1,"Ridley, William C"
2019-fa,ACE,562,Applied Regression Models I,2,12,4,3,4,0,0,1,0,0,0,0,0,0,"Crost, Benjamin"
2019-fa,ACE,564,Applied Regression Models II,0,17,3,2,1,1,0,1,0,0,0,0,0,0,"Crost, Benjamin"
2019-fa,ACE,592,Law and Regulation,0,8,1,1,8,2,0,2,0,0,0,0,0,0,"Endres, A B"
2019-fa,ACES,101,Contemporary Issues in ACES,20,6,2,1,1,0,0,0,0,0,0,0,0,0,"Lopez Barrera, Emely C"
2019-fa,ACES,101,Contemporary Issues in ACES,23,3,2,1,1,0,0,0,0,0,0,0,0,0,"Kim, Elizabeth J"
2019-fa,ACES,101,Contemporary Issues in ACES,19,4,1,1,1,0,0,0,0,0,0,0,0,0,"Brooks, Jan D"
2019-fa,ACES,101,Contemporary Issues in ACES,24,3,0,1,1,0,1,0,0,0,0,0,0,0,"Jones-Hamlow, Katelyn A"
2019-fa,ACES,101,Contemporary Issues in ACES,9,5,0,4,1,2,0,0,1,0,0,0,1,0,"Ohms, Cory J"
2019-fa,ACES,101,Contemporary Issues in ACES,26,3,1,0,0,0,1,0,0,0,0,0,0,0,"Larson, Eric"
2019-fa,ACES,101,Contemporary Issues in ACES,23,2,1,1,0,0,0,0,0,1,0,1,0,0,"Helton, Caroline A"
2019-fa,ACES,101,Contemporary Issues in ACES,21,2,3,1,0,0,0,0,0,0,0,0,0,0,"Edge, Brittani K"
2019-fa,ACES,101,Contemporary Issues in ACES,19,3,1,0,1,0,0,0,1,0,0,0,0,0,"Bohn, Martin O"
2019-fa,ACES,101,Contemporary Issues in ACES,13,7,2,0,1,1,1,0,0,0,0,0,0,0,"Schneider, Alicia M"
2019-fa,ACES,101,Contemporary Issues in ACES,14,3,2,2,0,0,0,0,0,0,0,0,0,0,"Li, Kailiang"
2019-fa,ACES,101,Contemporary Issues in ACES,25,5,1,0,1,0,0,0,0,1,0,0,0,0,"Castle, Christopher L"
2019-fa,ACES,101,Contemporary Issues in ACES,16,7,0,0,0,0,1,0,0,1,0,0,0,0,"Ohms, Cory J"
2019-fa,ACES,101,Contemporary Issues in ACES,9,4,2,3,2,0,1,0,0,0,0,0,0,0,"Lin, Zhiling"
2019-fa,ACES,102,Intro Sustainable Food Systems,10,20,0,2,3,2,0,1,0,1,0,0,1,0,"Rodriguez, Luis F"
2019-fa,ACES,179,History of Ag in IL Since 1860,2,4,5,6,8,1,0,2,1,0,1,0,0,0,"Reid, Debra A"
2019-fa,ACES,179,History of Ag in IL Since 1860,0,7,2,5,8,3,2,3,1,0,0,1,2,0,"Reid, Debra A"
2019-fa,ACES,199,Learning HowTo Learn Boot Camp,7,7,2,1,3,0,1,3,0,1,0,2,2,0,"Schmidt, Shelly J"
2019-fa,ADV,150,Introduction to Advertising,22,22,2,2,7,2,2,2,1,0,0,0,0,0,"Hall, Steven R"
2019-fa,ADV,150,Introduction to Advertising,12,158,24,16,54,7,5,11,2,1,7,0,5,0,"Hall, Steven R"
2019-fa,ADV,270,Principles of Sales,46,7,3,4,5,0,3,0,1,1,1,1,4,0,"Clifton, Dionne J"
